times,po-neg
2014-06,1
2014-11,1
2015-03,1
2015-05,1
2015-10,1
2015-12,1
2016-01,0.847826087
2016-02,0.910714286
2016-03,0.9125
2016-04,0.886075949
2016-05,0.941176471
2016-06,0.858695652
2016-07,0.927710843
2016-08,0.849462366
2016-09,0.875
2016-10,0.850746269
2016-11,0.857142857
2016-12,0.910714286
2017-01,0.8
2017-02,0.53030303
2017-03,0.677419355
